movieId,tmdbId,movielens_title,source_title,source_release_date,overview,overview_language,directors,cast,source_url,source_dataset,retrieved_on
21,8012,Get Shorty (1995),Get Shorty,1995-10-20,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",en,"[{""id"": 5174, ""name"": ""Barry Sonnenfeld""}]","[{""id"": 8891, ""name"": ""John Travolta""}, {""id"": 193, ""name"": ""Gene Hackman""}, {""id"": 14343, ""name"": ""Rene Russo""}, {""id"": 518, ""name"": ""Danny DeVito""}, {""id"": 1117, ""name"": ""Dennis Farina""}]",https://www.themoviedb.org/movie/8012,TMDB 5000 Movie Dataset,2026-09-12
22,1710,Copycat (1995),Copycat,1995-10-27,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,en,"[{""id"": 15148, ""name"": ""Jon Amiel""}]","[{""id"": 10205, ""name"": ""Sigourney Weaver""}, {""id"": 18686, ""name"": ""Holly Hunter""}, {""id"": 883, ""name"": ""Will Patton""}, {""id"": 18687, ""name"": ""William McNamara""}, {""id"": 18688, ""name"": ""Harry Connick Jr.""}]",https://www.themoviedb.org/movie/1710,TMDB 5000 Movie Dataset,2026-09-12
23,9691,Assassins (1995),Assassins,1995-10-06,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",en,"[{""id"": 7187, ""name"": ""Richard Donner""}]","[{""id"": 16483, ""name"": ""Sylvester Stallone""}, {""id"": 3131, ""name"": ""Antonio Banderas""}, {""id"": 1231, ""name"": ""Julianne Moore""}, {""id"": 58556, ""name"": ""Anatoli Davydov""}, {""id"": 17348, ""name"": ""Muse Watson""}]",https://www.themoviedb.org/movie/9691,TMDB 5000 Movie Dataset,2026-09-12
25,451,Leaving Las Vegas (1995),Leaving Las Vegas,1995-10-27,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",en,"[{""id"": 6111, ""name"": ""Mike Figgis""}]","[{""id"": 2963, ""name"": ""Nicolas Cage""}, {""id"": 1951, ""name"": ""Elisabeth Shue""}, {""id"": 6104, ""name"": ""Julian Sands""}, {""id"": 6105, ""name"": ""Richard Lewis""}, {""id"": 6106, ""name"": ""Steven Weber""}]",https://www.themoviedb.org/movie/451,TMDB 5000 Movie Dataset,2026-09-12
34,9598,Babe (1995),Babe,1995-07-18,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",en,"[{""id"": 58137, ""name"": ""Chris Noonan""}]","[{""id"": 58136, ""name"": ""Christine Cavanaugh""}, {""id"": 6199, ""name"": ""Miriam Margolyes""}, {""id"": 52699, ""name"": ""Danny Mann""}, {""id"": 1331, ""name"": ""Hugo Weaving""}, {""id"": 35109, ""name"": ""Miriam Flynn""}]",https://www.themoviedb.org/movie/9598,TMDB 5000 Movie Dataset,2026-09-12
36,687,Dead Man Walking (1995),Dead Man Walking,1995-12-29,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,en,"[{""id"": 504, ""name"": ""Tim Robbins""}]","[{""id"": 4038, ""name"": ""Susan Sarandon""}, {""id"": 2228, ""name"": ""Sean Penn""}, {""id"": 10360, ""name"": ""Robert Prosky""}, {""id"": 10361, ""name"": ""Raymond J. Barry""}, {""id"": 8655, ""name"": ""R. Lee Ermey""}]",https://www.themoviedb.org/movie/687,TMDB 5000 Movie Dataset,2026-09-12
39,9603,Clueless (1995),Clueless,1995-07-19,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",en,"[{""id"": 57434, ""name"": ""Amy Heckerling""}]","[{""id"": 5588, ""name"": ""Alicia Silverstone""}, {""id"": 58150, ""name"": ""Stacey Dash""}, {""id"": 328, ""name"": ""Brittany Murphy""}, {""id"": 22226, ""name"": ""Paul Rudd""}, {""id"": 49002, ""name"": ""Donald Faison""}]",https://www.themoviedb.org/movie/9603,TMDB 5000 Movie Dataset,2026-09-12
41,31174,Richard III (1995),Richard III,1995-12-29,Shakespeare's Play transplanted into a 1930s setting.,en,"[{""id"": 33315, ""name"": ""Richard Loncraine""}]","[{""id"": 1327, ""name"": ""Ian McKellen""}, {""id"": 516, ""name"": ""Annette Bening""}, {""id"": 388, ""name"": ""Jim Broadbent""}, {""id"": 5470, ""name"": ""Kristin Scott Thomas""}, {""id"": 42566, ""name"": ""Adrian Dunbar""}]",https://www.themoviedb.org/movie/31174,TMDB 5000 Movie Dataset,2026-09-12
44,9312,Mortal Kombat (1995),Mortal Kombat,1995-08-18,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",en,"[{""id"": 4014, ""name"": ""Paul W.S. Anderson""}]","[{""id"": 38559, ""name"": ""Christopher Lambert""}, {""id"": 57250, ""name"": ""Robin Shou""}, {""id"": 57251, ""name"": ""Linden Ashby""}, {""id"": 11398, ""name"": ""Cary-Hiroyuki Tagawa""}, {""id"": 20751, ""name"": ""Bridgette Wilson""}]",https://www.themoviedb.org/movie/9312,TMDB 5000 Movie Dataset,2026-09-12
45,577,To Die For (1995),To Die For,1995-05-20,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",en,"[{""id"": 5216, ""name"": ""Gus Van Sant""}]","[{""id"": 2227, ""name"": ""Nicole Kidman""}, {""id"": 2876, ""name"": ""Matt Dillon""}, {""id"": 73421, ""name"": ""Joaquin Phoenix""}, {""id"": 1893, ""name"": ""Casey Affleck""}, {""id"": 7796, ""name"": ""Illeana Douglas""}]",https://www.themoviedb.org/movie/577,TMDB 5000 Movie Dataset,2026-09-12
47,807,Seven (a.k.a. Se7en) (1995),Se7en,1995-09-22,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",en,"[{""id"": 7467, ""name"": ""David Fincher""}]","[{""id"": 287, ""name"": ""Brad Pitt""}, {""id"": 192, ""name"": ""Morgan Freeman""}, {""id"": 12052, ""name"": ""Gwyneth Paltrow""}, {""id"": 11885, ""name"": ""John C. McGinley""}, {""id"": 1979, ""name"": ""Kevin Spacey""}]",https://www.themoviedb.org/movie/807,TMDB 5000 Movie Dataset,2026-09-12
48,10530,Pocahontas (1995),Pocahontas,1995-06-14,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",en,"[{""id"": 65530, ""name"": ""Mike Gabriel""}, {""id"": 65531, ""name"": ""Eric Goldberg""}]","[{""id"": 65529, ""name"": ""Irene Bedard""}, {""id"": 2461, ""name"": ""Mel Gibson""}, {""id"": 28010, ""name"": ""David Ogden Stiers""}, {""id"": 31365, ""name"": ""John Kassir""}, {""id"": 3203, ""name"": ""Russell Means""}]",https://www.themoviedb.org/movie/10530,TMDB 5000 Movie Dataset,2026-09-12
50,629,"Usual Suspects, The (1995)",The Usual Suspects,1995-07-19,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",en,"[{""id"": 9032, ""name"": ""Bryan Singer""}]","[{""id"": 9045, ""name"": ""Stephen Baldwin""}, {""id"": 5168, ""name"": ""Gabriel Byrne""}, {""id"": 9046, ""name"": ""Chazz Palminteri""}, {""id"": 7166, ""name"": ""Kevin Pollak""}, {""id"": 4935, ""name"": ""Pete Postlethwaite""}]",https://www.themoviedb.org/movie/629,TMDB 5000 Movie Dataset,2026-09-12
57,9089,Home for the Holidays (1995),Home for the Holidays,1995-11-02,"After losing her job, making out with her soon to be ex-boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson has to face spending the holiday with her family. She wonders if she can survive their crazy antics.",en,"[{""id"": 1038, ""name"": ""Jodie Foster""}]","[{""id"": 18686, ""name"": ""Holly Hunter""}, {""id"": 3223, ""name"": ""Robert Downey Jr.""}, {""id"": 10774, ""name"": ""Anne Bancroft""}, {""id"": 1466, ""name"": ""Charles Durning""}, {""id"": 6194, ""name"": ""Claire Danes""}]",https://www.themoviedb.org/movie/9089,TMDB 5000 Movie Dataset,2026-09-12
60,11359,"Indian in the Cupboard, The (1995)",The Indian in the Cupboard,1995-07-14,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,en,"[{""id"": 7908, ""name"": ""Frank Oz""}]","[{""id"": 69301, ""name"": ""Hal Scardino""}, {""id"": 69302, ""name"": ""Litefoot""}, {""id"": 32225, ""name"": ""Lindsay Crouse""}, {""id"": 28633, ""name"": ""Richard Jenkins""}, {""id"": 1318612, ""name"": ""Rishi Bhat""}]",https://www.themoviedb.org/movie/11359,TMDB 5000 Movie Dataset,2026-09-12
61,17182,Eye for an Eye (1996),Eye for an Eye,1996-01-12,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",en,"[{""id"": 19304, ""name"": ""John Schlesinger""}]","[{""id"": 35, ""name"": ""Sally Field""}, {""id"": 2628, ""name"": ""Kiefer Sutherland""}, {""id"": 228, ""name"": ""Ed Harris""}, {""id"": 821, ""name"": ""Beverly D'Angelo""}, {""id"": 33689, ""name"": ""Charlayne Woodard""}]",https://www.themoviedb.org/movie/17182,TMDB 5000 Movie Dataset,2026-09-12
62,2054,Mr. Holland's Opus (1995),Mr. Holland's Opus,1995-12-29,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",en,"[{""id"": 18356, ""name"": ""Stephen Herek""}]","[{""id"": 3037, ""name"": ""Richard Dreyfuss""}, {""id"": 21104, ""name"": ""Glenne Headly""}, {""id"": 21105, ""name"": ""Jay Thomas""}, {""id"": 3019, ""name"": ""Olympia Dukakis""}, {""id"": 3905, ""name"": ""William H. Macy""}]",https://www.themoviedb.org/movie/2054,TMDB 5000 Movie Dataset,2026-09-12
69,10634,Friday (1995),Friday,1995-04-26,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",en,"[{""id"": 37932, ""name"": ""F. Gary Gray""}]","[{""id"": 9778, ""name"": ""Ice Cube""}, {""id"": 66, ""name"": ""Chris Tucker""}, {""id"": 9781, ""name"": ""Nia Long""}, {""id"": 8396, ""name"": ""Tom Lister Jr.""}, {""id"": 56902, ""name"": ""John Witherspoon""}]",https://www.themoviedb.org/movie/10634,TMDB 5000 Movie Dataset,2026-09-12
70,755,From Dusk Till Dawn (1996),From Dusk Till Dawn,1996-01-19,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",en,"[{""id"": 2294, ""name"": ""Robert Rodriguez""}]","[{""id"": 1461, ""name"": ""George Clooney""}, {""id"": 138, ""name"": ""Quentin Tarantino""}, {""id"": 1037, ""name"": ""Harvey Keitel""}, {""id"": 3196, ""name"": ""Juliette Lewis""}, {""id"": 11158, ""name"": ""Ernest Liu""}]",https://www.themoviedb.org/movie/755,TMDB 5000 Movie Dataset,2026-09-12
79,9623,"Juror, The (1996)",The Juror,1996-02-02,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",en,"[{""id"": 18069, ""name"": ""Brian Gibson""}]","[{""id"": 3416, ""name"": ""Demi Moore""}, {""id"": 7447, ""name"": ""Alec Baldwin""}, {""id"": 24045, ""name"": ""Joseph Gordon-Levitt""}, {""id"": 8256, ""name"": ""Anne Heche""}, {""id"": 4691, ""name"": ""James Gandolfini""}]",https://www.themoviedb.org/movie/9623,TMDB 5000 Movie Dataset,2026-09-12
81,400,Things to Do in Denver When You're Dead (1995),Things to Do in Denver When You're Dead,1995-12-01,A mafia film in Tarantino style with a star-studded cast. Jimmy’s “The Saint” gangster career has finally ended. Yet now he finds him self doing favors for a wise godfather known as “The Man with the Plan.”,en,"[{""id"": 5501, ""name"": ""Gary Fleder""}]","[{""id"": 1271, ""name"": ""Andy García""}, {""id"": 1062, ""name"": ""Christopher Lloyd""}, {""id"": 4520, ""name"": ""William Forsythe""}, {""id"": 5502, ""name"": ""Bill Nunn""}, {""id"": 4515, ""name"": ""Treat Williams""}]",https://www.themoviedb.org/movie/400,TMDB 5000 Movie Dataset,2026-09-12
86,10534,White Squall (1996),White Squall,1996-02-02,Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.,en,"[{""id"": 578, ""name"": ""Ridley Scott""}]","[{""id"": 1229, ""name"": ""Jeff Bridges""}, {""id"": 6692, ""name"": ""Caroline Goodall""}, {""id"": 47879, ""name"": ""John Savage""}, {""id"": 24965, ""name"": ""Scott Wolf""}, {""id"": 23958, ""name"": ""Jeremy Sisto""}]",https://www.themoviedb.org/movie/10534,TMDB 5000 Movie Dataset,2026-09-12
92,9095,Mary Reilly (1996),Mary Reilly,1996-02-23,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",en,"[{""id"": 3224, ""name"": ""Stephen Frears""}]","[{""id"": 1204, ""name"": ""Julia Roberts""}, {""id"": 6949, ""name"": ""John Malkovich""}, {""id"": 47722, ""name"": ""George Cole""}, {""id"": 5658, ""name"": ""Michael Gambon""}, {""id"": 515, ""name"": ""Glenn Close""}]",https://www.themoviedb.org/movie/9095,TMDB 5000 Movie Dataset,2026-09-12
93,12158,Vampire in Brooklyn (1995),Vampire in Brooklyn,1995-10-27,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",en,"[{""id"": 5140, ""name"": ""Wes Craven""}]","[{""id"": 776, ""name"": ""Eddie Murphy""}, {""id"": 9780, ""name"": ""Angela Bassett""}, {""id"": 32486, ""name"": ""Allen Payne""}, {""id"": 66554, ""name"": ""Kadeem Hardison""}, {""id"": 56902, ""name"": ""John Witherspoon""}]",https://www.themoviedb.org/movie/12158,TMDB 5000 Movie Dataset,2026-09-12
95,9208,Broken Arrow (1996),Broken Arrow,1996-02-09,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",en,"[{""id"": 11401, ""name"": ""John Woo""}]","[{""id"": 8891, ""name"": ""John Travolta""}, {""id"": 2224, ""name"": ""Christian Slater""}, {""id"": 20767, ""name"": ""Samantha Mathis""}, {""id"": 18792, ""name"": ""Delroy Lindo""}, {""id"": 4029, ""name"": ""Bob Gunton""}]",https://www.themoviedb.org/movie/9208,TMDB 5000 Movie Dataset,2026-09-12
100,11062,City Hall (1996),City Hall,1996-02-16,"The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.",en,"[{""id"": 23213, ""name"": ""Harold Becker""}]","[{""id"": 1158, ""name"": ""Al Pacino""}, {""id"": 3036, ""name"": ""John Cusack""}, {""id"": 2233, ""name"": ""Bridget Fonda""}, {""id"": 1004, ""name"": ""Danny Aiello""}, {""id"": 2641, ""name"": ""Martin Landau""}]",https://www.themoviedb.org/movie/11062,TMDB 5000 Movie Dataset,2026-09-12
101,13685,Bottle Rocket (1996),Bottle Rocket,1996-02-21,"Upon his release from a mental hospital following a nervous breakdown, the directionless Anthony joins his friend Dignan, who seems far less sane than the former. Dignan has hatched a hair-brained scheme for an as-yet-unspecified crime spree that somehow involves his former boss, the (supposedly) legendary Mr. Henry.",en,"[{""id"": 5655, ""name"": ""Wes Anderson""}]","[{""id"": 36422, ""name"": ""Luke Wilson""}, {""id"": 887, ""name"": ""Owen Wilson""}, {""id"": 74940, ""name"": ""Lumi Cavazos""}, {""id"": 71555, ""name"": ""Andrew Wilson""}, {""id"": 52797, ""name"": ""Robert Musgrave""}]",https://www.themoviedb.org/movie/13685,TMDB 5000 Movie Dataset,2026-09-12
104,9614,Happy Gilmore (1996),Happy Gilmore,1996-02-16,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.",en,"[{""id"": 17494, ""name"": ""Dennis Dugan""}]","[{""id"": 19292, ""name"": ""Adam Sandler""}, {""id"": 7399, ""name"": ""Ben Stiller""}, {""id"": 4443, ""name"": ""Christopher McDonald""}, {""id"": 31171, ""name"": ""Julie Bowen""}, {""id"": 11794, ""name"": ""Frances Bay""}]",https://www.themoviedb.org/movie/9614,TMDB 5000 Movie Dataset,2026-09-12
105,688,"Bridges of Madison County, The (1995)",The Bridges of Madison County,1995-05-28,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,en,"[{""id"": 190, ""name"": ""Clint Eastwood""}]","[{""id"": 5064, ""name"": ""Meryl Streep""}, {""id"": 190, ""name"": ""Clint Eastwood""}, {""id"": 6907, ""name"": ""Annie Corley""}, {""id"": 10379, ""name"": ""Victor Slezak""}, {""id"": 10380, ""name"": ""Jim Haynie""}]",https://www.themoviedb.org/movie/688,TMDB 5000 Movie Dataset,2026-09-12
110,197,Braveheart (1995),Braveheart,1995-05-24,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",en,"[{""id"": 2461, ""name"": ""Mel Gibson""}]","[{""id"": 2461, ""name"": ""Mel Gibson""}, {""id"": 2462, ""name"": ""Catherine McCormack""}, {""id"": 1957, ""name"": ""Sophie Marceau""}, {""id"": 2463, ""name"": ""Patrick McGoohan""}, {""id"": 2464, ""name"": ""Angus Macfadyen""}]",https://www.themoviedb.org/movie/197,TMDB 5000 Movie Dataset,2026-09-12
111,103,Taxi Driver (1976),Taxi Driver,1976-02-07,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",en,"[{""id"": 1032, ""name"": ""Martin Scorsese""}]","[{""id"": 380, ""name"": ""Robert De Niro""}, {""id"": 1036, ""name"": ""Cybill Shepherd""}, {""id"": 1037, ""name"": ""Harvey Keitel""}, {""id"": 1038, ""name"": ""Jodie Foster""}, {""id"": 1039, ""name"": ""Peter Boyle""}]",https://www.themoviedb.org/movie/103,TMDB 5000 Movie Dataset,2026-09-12
