target_movieId,target_title,title,cosine_sim,user_rating,deviation
2324,Life Is Beautiful (La Vita è bella),Twelve Monkeys (a.k.a. 12 Monkeys),0.2559,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),"Amelie (Fabuleux destin d'Amélie Poulain, Le)",0.2499,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Talk to Her (Hable con Ella),0.2469,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Eternal Sunshine of the Spotless Mind,0.2369,4.5,1.108
2324,Life Is Beautiful (La Vita è bella),With Honors,0.2328,3.0,-0.392
2324,Life Is Beautiful (La Vita è bella),Memento,0.2272,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Schindler's List,0.2241,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Pulp Fiction,0.2117,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),East is East,0.2112,3.0,-0.392
2324,Life Is Beautiful (La Vita è bella),American History X,0.2079,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Cyrano de Bergerac,0.2028,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Ghost World,0.2026,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Dancer in the Dark,0.2017,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Trainspotting,0.2006,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Cecil B. DeMented,0.1987,3.0,-0.392
2324,Life Is Beautiful (La Vita è bella),Brazil,0.1981,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Cinema Paradiso (Nuovo cinema Paradiso),0.1978,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),"Yards, The",0.1929,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The",0.1924,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Moulin Rouge,0.1921,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Metropolis,0.1907,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Circle of Friends,0.1847,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Traffic,0.1842,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),American Beauty,0.183,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Chocolat,0.1812,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Rabbit-Proof Fence,0.1781,3.5,0.108
2324,Life Is Beautiful (La Vita è bella),Seven (a.k.a. Se7en),0.1769,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Star Wars: Episode VI - Return of the Jedi,0.1758,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),"Departed, The",0.1755,4.5,1.108
2324,Life Is Beautiful (La Vita è bella),Monty Python's The Meaning of Life,0.1752,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Dead Poets Society,0.1705,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),"Graduate, The",0.1704,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),Heaven,0.17,3.5,0.108
2324,Life Is Beautiful (La Vita è bella),Kill Bill: Vol. 1,0.169,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),"Lord of the Rings: The Return of the King, The",0.1686,4.0,0.608
2324,Life Is Beautiful (La Vita è bella),Good Will Hunting,0.1682,5.0,1.608
2324,Life Is Beautiful (La Vita è bella),"Squid and the Whale, The",0.1656,4.0,0.608
